Datetime,CO2_1_1_1 [Tower 4],CH4_1_1_1 [Tower 4],FC_1_1_1 [Tower 4],FC_SSITC_TEST_1_1_1 [Tower 4],FCH4_1_1_1 [Tower 4],FCH4_SSITC_TEST_1_1_1 [Tower 4],CO2_1_1_1 [Tower 9],CH4_1_1_1 [Tower 9],FC_1_1_1 [Tower 9],FC_SSITC_TEST_1_1_1 [Tower 9],FCH4_1_1_1 [Tower 9],FCH4_SSITC_TEST_1_1_1 [Tower 9]
,mmolCO2 mol-1,nmolCH4 mol-1,umolCO2 m-2 s-1,,nmolCH4 m-2 s-1,,mmolCO2 mol-1,nmolCH4 mol-1,umolCO2 m-2 s-1,,nmolCH4 m-2 s-1,
2021/01/01 00:30:00,,,,,,,431.328,,-101.559,1,,
2021/01/01 01:00:00,,,,,,,,,,,,
2021/01/01 01:30:00,,,,,,,435.325,2600.68,8.18993,2,5683.67,1
2021/01/01 02:00:00,,,,,,,,,,,,
2021/01/01 02:30:00,,,,,,,,,,,,
2021/01/01 03:00:00,,,,,,,,,,,,
2021/01/01 03:30:00,,,,,,,425.172,,16.1721,0,,
2021/01/01 04:00:00,,,,,,,,,,,,
2021/01/01 04:30:00,,,,,,,424.839,,-13.1435,1,,
2021/01/01 05:00:00,433.431,2275.53,53.2163,2,-482.567,0,426.039,,-9.74301,2,,
2021/01/01 05:30:00,431.429,2266.3,17.6443,1,114.527,1,425.984,2283.53,6.23712,2,2292.2,2
2021/01/01 06:00:00,431.736,2325.31,-32.6204,2,434.141,0,431.155,2470.63,157.639,1,6524.03,1
2021/01/01 06:30:00,,,,,,,425.613,2269.94,10.1984,1,-973.468,1
2021/01/01 07:00:00,435.548,2457.69,14.5174,1,720.61,0,,,,,,
2021/01/01 07:30:00,435.162,2324.22,25.5096,1,1373.87,1,,,,,,
2021/01/01 08:00:00,,,,,,,,,,,,
2021/01/01 08:30:00,,,,,,,,,,,,
2021/01/01 09:00:00,443.085,2593.34,-1.58061,1,-31.9851,2,,,,,,
2021/01/01 09:30:00,442.713,,-40.2224,1,,,438.351,,17.7406,2,,
2021/01/01 10:00:00,439.659,2631.34,-21.6395,2,390.309,2,446.169,2621.12,19.4163,1,-1192.01,1
2021/01/01 10:30:00,436.65,2585.24,-20.8189,1,74.983,1,439.282,2454.3,32.813,1,-486.446,1
2021/01/01 11:00:00,436.626,2612.23,32.6148,1,-99.5827,2,436.055,2440.88,5.56022,1,32.6758,1
2021/01/01 11:30:00,431.403,2562.46,-1.1594,1,23.887,1,421.056,2383.97,-0.164248,2,13.3662,2
2021/01/01 12:00:00,413.113,,-1.95031,0,,,438.639,,1.616,2,,
2021/01/01 12:30:00,406.395,,-4.31491,0,,,427.623,2427.54,0.777446,2,-1144.32,1
