Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 502332,2332,Cattle,ST,M,01/05/2021,UK 706021 102928,UK 221185 601956,NA,Green,2022,2022
UK 362735 702327,2327,Cattle,ST,M,14/04/2021,UK 706021 102928,UK 221217 601250,NA,Blue,2022,2022
UK 362735 602326,2326,Cattle,STX,F,13/04/2021,UK 142911 303178,UK 345188 301543,NA,Blue,2022,2022
UK 362735 502325,2325,Cattle,ST,F,10/04/2021,UK 706021 102928,UK 221217 301247,NA,Blue,2022,2022
UK 362735 302323,2323,Cattle,STX,F,05/04/2021,UK 142911 303178,UK 343494 603856,NA,Green,2022,2022
UK 362735 502318,2318,Cattle,ST,F,02/04/2021,UK 220207 601568,UK 283928 501210,NA,Green,2022,2022
UK 362735 302316,2316,Cattle,ST,M,31/03/2021,UK 706021 102928,UK 280211 700477,NA,Green,2022,2022
UK 362735 402310,2310,Cattle,ST,M,29/03/2021,UK 706021 102928,UK 221185 301967,NA,Green,2022,2022
UK 362735 502311,2311,Cattle,ST,M,29/03/2021,UK 220207 601568,UK 362735 101747,NA,Blue,2022,2022
UK 362735 302309,2309,Cattle,ST,M,28/03/2021,UK 142911 303178,UK 706021 402917,NA,Blue,2022,2022
UK 362735 102307,2307,Cattle,ST,M,27/03/2021,UK 706021 102928,UK 280211 700491,NA,Blue,2022,2022
UK 362735 702306,2306,Cattle,ST,F,27/03/2021,UK 142911 303178,UK 221185 302016,NA,Green,2022,2022
UK 362735 302302,2302,Cattle,ST,F,25/03/2021,UK 220207 601568,UK 362735 601829,NA,Blue,2022,2022
UK 362735 502304,2304,Cattle,ST,F,25/03/2021,UK 706021 102928,UK 221185 602026,NA,Blue,2022,2022
UK 362735 602298,2298,Cattle,ST,F,24/03/2021,UK 706021 102928,UK 280211 700456,NA,Blue,2022,2022
UK 362735 302295,2295,Cattle,ST,M,22/03/2021,UK 303605 401594,UK 362735 101978,NA,Green,2022,2022
UK 362735 202294,2294,Cattle,ST,F,20/03/2021,UK 706021 102928,UK 283928 301138,NA,Green,2022,2022
UK 362735 702292,2292,Cattle,STX,M,20/03/2021,UK 142911 303178,UK 340944 102797,NA,Green,2022,2022
UK 362735 102293,2293,Cattle,ST,F,19/03/2021,UK 706021 102928,UK 221185 102028,NA,Green,2022,2022
