Official tag,Category,Birth weight (kg),05/11/2019,06/11/2019,02/12/2019,08/01/2020,04/02/2020,03/03/2020,11/04/2020,15/04/2020,15/05/2020,13/06/2020,13/07/2020,13/08/2020,23/09/2020,14/10/2020,03/11/2020,03/12/2020,08/12/2020,11/01/2021,14/01/2021,21/01/2021,16/02/2021,17/03/2021,13/04/2021,20/04/2021,26/04/2021,13/05/2021,07/06/2021,18/06/2021,21/06/2021,16/07/2021,22/07/2021,03/08/2021,13/08/2021,01/09/2021,13/09/2021,28/09/2021,11/10/2021,26/10/2021,08/11/2021,09/11/2021,10/11/2021,12/11/2021,16/11/2021,09/12/2021,05/01/2022,14/01/2022,25/01/2022,16/02/2022,16/03/2022,17/03/2022,12/04/2022,13/04/2022,05/05/2022,07/06/2022,08/06/2022,05/07/2022,06/07/2022,03/08/2022,11/08/2022,25/08/2022,07/09/2022,11/10/2022,20/10/2022,21/10/2022,28/10/2022,10/11/2022,11/11/2022,15/12/2022,17/01/2023,14/02/2023,15/03/2023,16/03/2023,11/05/2023,23/05/2023,12/06/2023,19/06/2023
UK 362735 601955,Cattle,52,343,NA,340,363,395,431,447,NA,481,524,540,568,586,586,608,632,NA,NA,674,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602004,Cattle,40,NA,288,312,333,360,393,NA,416,461,474,504,540,550,566,568,630,NA,NA,684,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602060,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,546,NA,598,630,NA,676,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602074,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,418,NA,464,496,NA,512,NA,528,562,544,NA,594,NA,604,624,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602081,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,NA,382,NA,414,461,470,NA,NA,491,526,NA,542,566,NA,562,574,NA,608,NA,630,NA,NA,NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602088,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,345,NA,387,426,455,NA,NA,447,482,NA,492,518,NA,514,NA,NA,538,NA,570,NA,NA,NA,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602095,Cattle,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,NA,431,NA,462,497,516,NA,NA,526,546,NA,556,598,NA,588,NA,NA,638,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602116,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,432,NA,465,512,546,NA,NA,526,550,NA,562,576,NA,558,548,NA,590,NA,628,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602130,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,NA,465,NA,502,516,NA,538,NA,534,568,570,NA,608,NA,630,638,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602137,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,361,NA,381,415,NA,442,NA,425,440,442,NA,470,NA,488,504,NA,512,NA,554,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602144,Cattle,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,NA,404,NA,444,482,492,NA,NA,506,528,NA,546,568,NA,568,574,NA,606,NA,638,NA,NA,NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602151,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,441,NA,458,485,NA,506,NA,500,524,536,NA,574,NA,568,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602158,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,397,NA,426,452,NA,486,NA,482,506,516,NA,536,NA,546,NA,NA,588,NA,624,NA,NA,NA,678,NA,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602165,Cattle,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,356,NA,376,405,427,NA,NA,436,475,NA,472,504,NA,504,NA,NA,554,NA,586,NA,NA,NA,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602179,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,NA,419,NA,443,470,NA,504,NA,499,504,506,NA,546,NA,554,560,NA,592,NA,626,NA,NA,NA,684,NA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602186,Cattle,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,504,NA,552,572,NA,632,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602214,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,384,NA,404,NA,405,NA,401,459,NA,467,500,NA,NA,546,560,NA,NA,580,592,610,NA,NA,NA,598,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602235,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,363,NA,387,NA,427,437,NA,NA,473,475,NA,506,538,NA,580,NA,NA,606,NA,620,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602256,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,NA,NA,NA,378,NA,413,NA,443,467,NA,NA,534,487,NA,524,552,NA,594,NA,NA,610,NA,650,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602263,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,351,NA,374,NA,391,NA,413,454,NA,460,500,NA,NA,554,544,NA,NA,574,592,612,NA,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602270,Cattle,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,280,NA,313,NA,336,NA,362,404,NA,422,463,NA,NA,510,532,NA,NA,556,570,572,NA,NA,584,NA,NA,598,648,676,662,NA,NA,NA,NA
UK 362735 602284,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,393,NA,423,NA,434,NA,455,498,NA,522,542,NA,NA,592,604,NA,NA,632,658,672,NA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602298,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,329,NA,347,NA,377,398,NA,NA,420,417,NA,434,469,NA,490,NA,NA,504,NA,538,NA,NA,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602326,Cattle,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,310,NA,340,NA,371,375,NA,NA,403,396,NA,422,455,NA,483,NA,NA,508,NA,540,NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702033,Cattle,45,NA,234,250,276,303,327,347,NA,400,444,469,510,538,554,580,598,NA,NA,622,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702131,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,NA,414,NA,432,469,NA,516,NA,508,520,526,NA,554,NA,554,NA,NA,592,NA,632,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702159,Cattle,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,NA,409,NA,426,473,NA,500,NA,506,542,550,NA,590,NA,606,606,NA,630,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702166,Cattle,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,343,NA,364,376,NA,392,NA,389,405,406,NA,428,NA,NA,NA,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702187,Cattle,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,325,NA,354,375,387,NA,NA,409,433,NA,447,475,NA,469,NA,NA,514,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,636,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702194,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,338,NA,370,404,425,NA,NA,441,476,NA,497,514,NA,526,518,NA,546,NA,580,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702215,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,NA,NA,349,NA,391,NA,403,449,NA,NA,460,451,NA,479,502,NA,530,NA,NA,556,NA,582,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702243,Cattle,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,270,NA,306,NA,330,346,NA,NA,387,385,NA,425,443,NA,487,NA,NA,516,NA,548,NA,NA,NA,536,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702257,Cattle,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,NA,NA,NA,370,NA,409,NA,433,446,NA,NA,480,460,NA,504,524,NA,550,NA,NA,550,NA,566,NA,NA,594,NA,608,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702264,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,NA,385,NA,409,NA,432,452,NA,NA,465,479,NA,508,554,NA,588,NA,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702278,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,343,NA,363,NA,374,NA,388,408,NA,431,474,NA,NA,532,552,NA,NA,578,600,622,NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702292,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,332,NA,347,NA,354,NA,366,401,NA,435,447,NA,NA,489,502,NA,NA,522,534,550,NA,NA,572,NA,NA,546,596,602,NA,646,650,NA,NA
UK 362735 702306,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,358,NA,386,NA,386,NA,405,440,NA,452,481,NA,NA,530,544,NA,NA,574,586,588,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702327,Cattle,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,435,NA,460,NA,471,478,NA,NA,520,512,NA,560,616,NA,650,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
