Official tag,Category,Birth weight (kg),25/10/2016,24/11/2016,08/12/2016,22/12/2016,05/01/2017,07/02/2017,07/03/2017,12/04/2017,19/04/2017,07/06/2017,06/07/2017,01/08/2017,29/08/2017,03/10/2017,03/11/2017,09/11/2017,24/11/2017,12/12/2017,05/01/2018,10/01/2018,16/01/2018,17/01/2018,06/02/2018,13/02/2018,14/02/2018,28/02/2018,14/03/2018,21/03/2018,04/04/2018,19/04/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,09/08/2018,21/08/2018,29/08/2018,10/09/2018,11/09/2018,12/09/2018,19/09/2018,09/10/2018,25/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,20/11/2018,04/12/2018,05/12/2018,12/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,02/12/2019,17/12/2019,10/01/2020,15/01/2020
UK 362735 101789,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,350,NA,NA,NA,355,NA,NA,NA,421,465,482,492,NA,NA,NA,NA,520,NA,NA,566,626,658,662,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101796,Cattle,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,416,NA,NA,NA,435,NA,NA,NA,506,544,580,608,NA,NA,NA,NA,602,NA,NA,642,700,740,732,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101803,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,348,NA,NA,NA,372,NA,NA,NA,424,457,485,522,NA,NA,NA,NA,506,NA,NA,542,592,612,614,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101824,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,313,NA,NA,NA,336,NA,NA,NA,378,415,439,451,NA,NA,NA,NA,451,NA,NA,489,538,554,NA,560,NA,564,NA,NA,NA,NA,NA,NA
UK 362735 101831,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,365,NA,NA,NA,371,NA,NA,NA,423,446,457,487,NA,494,NA,NA,484,NA,512,NA,564,584,588,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 101845,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,305,NA,NA,NA,341,NA,NA,NA,389,436,460,487,NA,NA,NA,NA,485,NA,NA,510,550,568,NA,580,586,NA,NA,602,646,646,NA,NA
UK 362735 101887,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,261,NA,NA,NA,285,NA,NA,NA,336,374,398,425,NA,NA,NA,439,431,NA,453,NA,518,526,NA,554,558,NA,NA,586,626,644,NA,NA
UK 362735 201601,Cattle,36,263,274,295,311,318,375,374,393,NA,458,470,499,526,552,556,NA,578,600,636,NA,NA,NA,666,NA,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201650,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,370,NA,NA,381,NA,NA,413,NA,NA,453,NA,NA,NA,478,492,NA,528,568,588,NA,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201657,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,277,NA,NA,305,NA,NA,347,NA,NA,383,NA,NA,NA,400,416,NA,462,494,514,NA,NA,NA,544,NA,NA,NA,568,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
