Official tag,Category,Birth weight (kg),25/10/2016,24/11/2016,08/12/2016,22/12/2016,05/01/2017,07/02/2017,07/03/2017,12/04/2017,19/04/2017,07/06/2017,06/07/2017,01/08/2017,29/08/2017,03/10/2017,03/11/2017,09/11/2017,24/11/2017,12/12/2017,05/01/2018,10/01/2018,16/01/2018,17/01/2018,06/02/2018,13/02/2018,14/02/2018,28/02/2018,14/03/2018,21/03/2018,04/04/2018,19/04/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,09/08/2018,21/08/2018,29/08/2018,10/09/2018,11/09/2018,12/09/2018,19/09/2018,09/10/2018,25/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,20/11/2018,04/12/2018,05/12/2018,12/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,02/12/2019,17/12/2019,10/01/2020,15/01/2020
UK 362735 301686,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,365,NA,NA,402,NA,NA,424,NA,NA,445,NA,NA,NA,434,443,NA,481,516,520,NA,NA,NA,554,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301700,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,372,NA,NA,425,NA,NA,457,NA,NA,NA,469,486,NA,528,576,596,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301721,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,353,NA,NA,381,NA,NA,405,NA,NA,423,NA,NA,NA,426,432,NA,472,514,520,NA,NA,NA,548,NA,NA,NA,550,NA,NA,NA,572,604,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301728,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,312,NA,NA,349,NA,NA,378,NA,NA,401,NA,NA,NA,421,432,NA,475,504,508,NA,NA,NA,540,NA,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301735,Cattle,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,302,NA,NA,329,NA,NA,354,NA,NA,371,NA,NA,NA,391,418,NA,472,520,538,NA,NA,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301742,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,280,NA,NA,302,NA,NA,322,NA,NA,338,NA,NA,NA,362,378,NA,421,457,482,NA,NA,NA,497,NA,NA,NA,508,NA,NA,NA,526,556,NA,578,NA,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301784,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,337,NA,NA,NA,373,NA,NA,NA,424,453,465,493,NA,NA,NA,NA,481,NA,NA,534,584,604,NA,628,NA,618,NA,NA,NA,NA,NA,NA
UK 362735 301812,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,337,NA,NA,NA,361,NA,NA,NA,398,428,457,481,NA,NA,470,NA,476,NA,518,NA,574,576,NA,606,606,NA,614,NA,NA,NA,NA,NA
UK 362735 301826,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,342,NA,NA,NA,374,NA,NA,NA,421,459,480,514,NA,NA,NA,NA,493,NA,NA,528,572,598,NA,604,610,NA,628,NA,NA,NA,NA,NA
UK 362735 301833,Cattle,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,442,NA,NA,NA,472,NA,NA,NA,530,558,594,614,NA,600,NA,NA,592,NA,NA,NA,700,720,726,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301854,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,346,NA,NA,NA,368,NA,NA,NA,407,451,468,492,NA,NA,NA,508,490,NA,510,NA,572,568,NA,596,594,NA,NA,598,670,674,NA,NA
UK 362735 301896,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,332,NA,NA,NA,352,NA,NA,NA,394,425,456,470,NA,NA,NA,478,470,NA,500,NA,566,582,NA,616,624,NA,NA,658,690,694,NA,NA
UK 362735 401561,Cattle,50,329,347,351,359,368,388,409,434,NA,499,526,556,580,608,610,NA,628,654,690,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401610,Cattle,43,219,241,242,249,255,265,283,293,NA,367,385,410,431,456,469,NA,488,506,530,NA,NA,NA,568,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401624,Cattle,38,299,321,331,339,354,395,420,429,NA,518,538,574,560,608,620,NA,626,664,682,NA,NA,NA,710,NA,NA,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401645,Cattle,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,334,NA,NA,353,NA,NA,390,NA,NA,425,NA,NA,NA,479,482,NA,514,558,554,NA,NA,NA,NA,576,NA,NA,604,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401659,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,352,NA,NA,392,NA,NA,412,NA,NA,448,NA,NA,NA,495,524,NA,572,622,636,NA,NA,NA,NA,646,NA,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401666,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,367,NA,NA,379,NA,NA,407,NA,NA,434,NA,NA,NA,448,461,NA,486,536,538,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401673,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,379,NA,NA,407,NA,NA,433,NA,NA,467,NA,NA,NA,499,494,NA,494,534,550,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401680,Cattle,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,288,NA,NA,322,NA,NA,353,NA,NA,NA,385,405,NA,454,482,497,NA,NA,NA,NA,522,NA,NA,542,NA,NA,NA,542,582,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401687,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,377,NA,NA,407,NA,NA,439,NA,NA,469,NA,NA,NA,484,488,NA,552,580,600,NA,NA,NA,616,NA,NA,NA,636,NA,NA,NA,628,648,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401708,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,384,NA,NA,408,NA,NA,433,NA,NA,467,NA,NA,NA,502,484,NA,514,552,552,NA,NA,NA,NA,584,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401715,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,338,NA,NA,356,NA,NA,379,NA,NA,408,NA,NA,NA,424,437,NA,482,512,499,NA,NA,NA,NA,536,NA,NA,570,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401722,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,340,NA,NA,369,NA,NA,404,NA,NA,435,NA,NA,NA,486,492,NA,524,578,592,NA,NA,NA,NA,604,NA,NA,632,NA,NA,NA,636,688,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401743,Cattle,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,318,NA,NA,329,NA,NA,362,NA,NA,384,NA,NA,NA,409,437,NA,480,552,562,NA,NA,NA,NA,584,NA,NA,622,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401827,Cattle,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,304,NA,NA,NA,318,NA,NA,NA,346,369,386,404,NA,NA,NA,NA,425,NA,NA,460,488,514,NA,536,536,NA,NA,548,618,NA,662,650
UK 362735 401834,Cattle,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,381,NA,NA,NA,413,NA,NA,NA,457,490,510,524,NA,NA,NA,NA,528,NA,NA,572,596,630,632,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401841,Cattle,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,421,NA,NA,NA,450,NA,NA,NA,499,528,560,592,NA,NA,NA,NA,550,NA,NA,584,620,662,670,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 401876,Cattle,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,332,NA,NA,NA,349,NA,NA,NA,411,451,478,510,NA,NA,497,NA,488,NA,528,NA,572,610,NA,630,NA,632,NA,NA,NA,NA,NA,NA
UK 362735 401890,Cattle,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,299,NA,NA,NA,315,NA,NA,NA,354,371,381,395,NA,NA,NA,NA,401,NA,NA,436,498,512,NA,544,NA,NA,NA,586,638,NA,674,686
UK 362735 501597,Cattle,39,218,237,246,244,259,280,302,317,NA,362,369,387,411,425,433,NA,448,470,482,NA,NA,NA,489,NA,NA,506,NA,NA,508,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501604,Cattle,43,232,245,262,260,270,304,322,336,NA,393,414,445,466,484,500,NA,508,538,552,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501646,Cattle,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,334,NA,NA,369,NA,NA,411,NA,NA,446,NA,NA,NA,473,488,NA,546,586,616,NA,NA,NA,634,NA,NA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501653,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,NA,442,NA,NA,478,NA,NA,512,NA,NA,538,NA,NA,NA,528,538,NA,590,612,630,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501660,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,NA,460,NA,NA,475,NA,NA,504,NA,NA,544,NA,NA,NA,586,608,NA,658,720,730,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501667,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,NA,447,NA,NA,474,NA,NA,493,NA,NA,510,NA,NA,NA,510,524,NA,580,620,636,NA,NA,NA,672,NA,NA,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501695,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,NA,423,NA,NA,456,NA,NA,458,NA,NA,502,NA,NA,NA,502,508,NA,558,584,614,NA,NA,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501709,Cattle,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,321,NA,NA,336,NA,NA,378,NA,NA,412,NA,NA,NA,451,470,NA,497,538,544,NA,NA,NA,NA,572,NA,NA,590,NA,NA,NA,610,646,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501716,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,NA,334,NA,NA,351,NA,NA,370,NA,NA,389,NA,NA,NA,427,444,NA,470,504,508,NA,NA,NA,NA,546,NA,NA,568,NA,NA,NA,528,556,NA,588,NA,NA,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501730,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,308,NA,NA,320,NA,NA,344,NA,NA,364,NA,NA,NA,394,416,NA,448,491,497,NA,NA,NA,NA,510,NA,NA,546,NA,NA,NA,548,570,NA,604,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501744,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,264,NA,NA,280,NA,NA,302,NA,NA,320,NA,NA,NA,326,347,NA,386,423,438,NA,NA,NA,472,NA,NA,NA,489,NA,NA,NA,516,528,NA,570,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501751,Cattle,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,348,NA,NA,NA,389,NA,NA,NA,452,494,520,546,NA,NA,NA,NA,532,NA,NA,566,610,624,622,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501772,Cattle,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,394,NA,NA,NA,414,NA,NA,NA,463,476,489,528,NA,518,NA,NA,522,NA,554,NA,554,636,NA,648,NA,654,NA,NA,NA,NA,NA,NA
UK 362735 501779,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,361,NA,NA,NA,376,NA,NA,NA,428,449,471,494,NA,NA,NA,NA,493,NA,NA,520,576,592,590,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501793,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,330,NA,NA,NA,350,NA,NA,NA,390,427,436,468,NA,NA,NA,NA,NA,NA,NA,514,556,598,NA,612,616,NA,642,NA,NA,NA,NA,NA
UK 362735 501800,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,388,NA,NA,NA,415,NA,NA,NA,483,493,514,550,NA,NA,NA,546,526,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501807,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,381,NA,NA,NA,412,NA,NA,NA,453,473,492,518,NA,518,NA,NA,506,NA,532,NA,582,584,NA,594,NA,600,NA,NA,NA,NA,NA,NA
UK 362735 501814,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,429,NA,NA,NA,455,NA,NA,NA,487,502,530,544,NA,NA,NA,NA,552,NA,NA,582,606,644,636,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501821,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,380,NA,NA,NA,401,NA,NA,NA,439,470,497,516,NA,489,NA,NA,495,NA,532,NA,592,604,NA,626,620,NA,640,NA,NA,NA,NA,NA
UK 362735 501828,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,344,NA,NA,NA,367,NA,NA,NA,423,444,462,493,NA,NA,NA,485,475,NA,506,NA,528,568,NA,590,588,NA,620,NA,NA,NA,NA,NA
UK 362735 501849,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,277,NA,NA,NA,284,NA,NA,NA,326,352,362,395,NA,407,NA,NA,402,NA,414,NA,470,495,NA,520,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 501884,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,305,NA,NA,NA,331,NA,NA,NA,373,394,423,432,NA,NA,NA,NA,444,NA,NA,477,530,544,NA,562,578,NA,600,NA,NA,NA,NA,NA
UK 362735 601605,Cattle,35,229,260,271,288,295,314,336,353,NA,403,417,447,447,487,494,NA,526,526,582,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601626,Cattle,51,225,234,237,246,261,263,274,279,NA,371,400,439,463,471,508,NA,532,558,582,NA,NA,NA,610,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601654,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,431,NA,NA,467,NA,NA,490,NA,NA,524,NA,NA,NA,536,522,NA,574,602,602,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601661,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,374,410,414,NA,NA,NA,440,NA,NA,NA,469,NA,NA,NA,481,512,NA,538,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
