Date,Catchment 4 After  2013/08/13,Catchment 5,Catchment 6,Catchment 7,Catchment 8,Catchment 9,Catchment 11,Catchment 12,Catchment 13,Catchment 14,Green Shed,Blue Shed,Catchment 4 Prior to  2013/08/13,Brown Shed
2019-01-01,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-02,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-03,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-04,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-05,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-06,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-07,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-08,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-09,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-10,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-11,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-12,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-13,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-14,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-15,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-16,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019-01-17,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-18,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-19,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-20,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-21,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-22,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-23,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-24,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-25,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-26,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-27,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-28,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-29,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-30,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01-31,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-02,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-03,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-04,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-05,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-06,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-23,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2019-03-24,0,0,0,0,0,13,0,0,0,0,0,0,0,0
2019-03-25,0,0,0,0,0,17,0,0,8,0,0,0,0,0
2019-03-26,0,0,0,0,0,23,0,0,12,0,0,0,0,0
2019-03-27,0,0,0,0,0,32,0,0,25,0,0,0,0,0
2019-03-28,0,0,0,0,0,37,0,0,34,0,0,0,0,0
2019-03-29,0,0,0,0,0,37,6,0,40,0,0,0,0,0
2019-03-30,0,0,0,0,0,37,12,0,50,0,0,0,0,0
2019-03-31,0,0,0,0,0,37,12,0,50,0,0,0,0,0
2019-04-01,0,0,0,0,0,37,24,0,63,0,0,0,0,0
2019-04-02,0,0,0,0,0,37,24,0,63,0,0,0,0,0
2019-04-03,0,0,0,0,0,37,24,0,63,0,0,0,0,0
2019-04-04,0,0,0,0,0,37,36,14,63,0,0,0,0,0
2019-04-05,0,0,0,0,0,37,47,23,63,0,0,0,0,0
2019-04-06,0,0,0,0,0,37,47,23,63,0,0,0,0,0
2019-04-07,0,0,0,0,0,37,57,53,63,11,0,0,0,0
2019-04-08,0,0,0,0,0,37,57,53,63,11,0,0,0,0
2019-04-09,0,0,0,0,0,37,57,53,63,11,0,0,0,0
2019-04-10,0,0,0,0,0,24,70,62,63,22,0,0,0,0
2019-04-11,0,0,0,0,0,24,70,65,63,27,0,0,0,0
2019-04-12,0,0,0,0,0,24,70,65,63,31,0,0,0,0
2019-04-13,0,0,0,0,0,24,70,65,63,31,0,0,0,0
2019-04-14,0,0,0,0,0,24,70,65,63,31,0,0,0,0
2019-04-15,0,0,0,0,0,24,70,69,63,31,0,0,0,0
2019-04-16,0,0,0,0,0,24,70,68,63,31,0,0,0,0
2019-04-17,0,0,0,0,0,24,70,68,63,31,0,0,0,0
2019-04-18,0,0,0,0,0,24,70,68,63,31,0,0,0,0
2019-04-19,0,0,0,0,0,24,70,68,63,31,0,0,0,0
2019-04-20,0,0,0,0,0,24,70,68,62,31,0,0,0,0
2019-04-21,0,0,0,0,0,24,70,68,62,31,0,0,0,0
2019-04-22,0,0,0,0,0,24,70,68,62,31,0,0,0,0
2019-04-23,0,0,0,0,0,24,70,70,62,31,0,0,0,0
2019-04-24,0,0,0,0,0,24,70,70,62,31,0,0,0,0
2019-04-25,0,0,0,0,0,24,69,70,62,31,0,0,0,0
2019-04-26,0,0,0,0,0,24,69,70,62,31,0,0,0,0
2019-04-27,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-04-28,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-04-29,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-04-30,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-05-01,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-05-02,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-05-03,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-05-04,0,0,0,0,0,24,68,68,62,31,0,0,0,0
2019-05-05,0,0,0,0,0,24,68,68,62,31,0,0,0,0
