Name,Field,Field Name,Farmlet,Method,Feed_Category,Sampling_Date,%dry_matter,%crude_protein,%WSC,%lipids,%NDF,%ADF,%MADF,%ADL,ME_MJ_per_kg_DM,%Ash,%Acetate,%Propionate,%Butyrate,%Lactate,%Ammonia_from_total_N,Additional Analysis
Green 01/06/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,01/06/2016 00:00:00,20.8,18.09,10.1,,45.49,23.1,24.05,3.05,11.75,8.15,,,,,,
Red 01/06/2016 Lower Wheaty Pasture,NW015,Lower Wheaty,Red,Grazing,Pasture,01/06/2016 00:00:00,22.73,14.21,17.41,,45.94,24.6,25.45,2.6,11.49,7.55,,,,,,
Blue 01/06/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,01/06/2016 00:00:00,20.25,20.32,13.87,,39.13,20.85,22.05,2.7,12.12,7.9,,,,,,
Green 14/11/2016 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,14/11/2016 00:00:00,38.82,14.69,4.17,,54.31,30.5,31.6,3.88,10.58,6.99,,,,,,
Red 14/11/2016 Bale Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Bale,Silage,14/11/2016 00:00:00,46.81,14.82,7.34,,51.09,29.79,30.91,3.38,10.67,7.93,,,,,,
Blue 14/11/2016 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,14/11/2016 00:00:00,35.33,13.88,4.33,,46.1,28.36,31.13,5.64,10.64,10.43,,,,,,
Green 21/11/2016 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,21/11/2016 00:00:00,38.78,13.78,4.57,,55.07,30.45,32.95,3.87,10.39,6.92,,,,,,
Red 21/11/2016 Bale Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Bale,Silage,21/11/2016 00:00:00,47.08,14.84,7.98,,50.2,27.99,31.24,3.45,10.63,7.91,,,,,,
Blue 21/11/2016 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,21/11/2016 00:00:00,35.64,14.09,4.28,,47.36,29.41,32.02,6.14,10.52,10.91,,,,,,
Green 28/11/2016 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,28/11/2016 00:00:00,38.8,14.48,4.21,,55.77,30.31,32.74,3.82,10.42,6.76,,,,,,
Red 28/11/2016 Bale Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Bale,Silage,28/11/2016 00:00:00,46.8,14.22,7.48,,51.81,28.88,30.54,3.44,10.72,7.9,,,,,,
Blue 28/11/2016 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,28/11/2016 00:00:00,36.94,14.38,4.73,,47.59,27.43,30.5,4.62,10.73,9.42,,,,,,
Green 05/12/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,05/12/2016 00:00:00,32.73,16.42,2.54,,45.46,26.07,27.75,2.45,11.12,8.46,,,,,,
Red 05/12/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,05/12/2016 00:00:00,25.75,13.1,3.63,,48.73,29.45,31.35,2.47,10.61,8.18,,,,,,
Blue 05/12/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,05/12/2016 00:00:00,31.23,11.35,9.33,,47.45,26.36,27.79,2.89,11.11,6.72,,,,,,
Green 12/12/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,12/12/2016 00:00:00,35.55,15.95,4.53,,44.56,25.73,27.23,2.32,11.19,8.5,,,,,,
Red 12/12/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,12/12/2016 00:00:00,25.74,12.96,4.5,,48.12,29.45,30.64,2.42,10.71,7.94,,,,,,
Blue 12/12/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,12/12/2016 00:00:00,31.67,10.49,9.66,,47.78,28.02,29.52,2.64,10.87,7.14,,,,,,
Green 19/12/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,19/12/2016 00:00:00,34.12,15.27,4.25,,44.92,25.95,27.52,2.31,11.15,8.67,,,,,,
Red 19/12/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,19/12/2016 00:00:00,25.6,13.19,4.33,,47.34,27.97,29.78,2.26,10.83,7.26,,,,,,
Blue 19/12/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,19/12/2016 00:00:00,31.27,9.5,9.87,,46.11,28.79,29.5,3.67,10.87,6.89,,,,,,
Green 02/01/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,02/01/2017 00:00:00,33.13,15.72,3.71,,44.33,26.35,26.63,2.43,11.27,8.32,,,,,,
Red 02/01/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,02/01/2017 00:00:00,24.04,13.85,3.7,,47.49,28.12,29.49,2.51,10.87,7.87,,,,,,
Blue 02/01/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,02/01/2017 00:00:00,31.53,10.56,9.96,,46.12,26.51,28.33,2.88,11.03,6.95,,,,,,
Green 09/01/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,09/01/2017 00:00:00,33.51,16.27,4.04,,43.1,24.57,27.31,2.27,11.18,8.19,,,,,,
Red 09/01/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,09/01/2017 00:00:00,23.71,12.99,3.37,,48.63,28.35,30.56,4.76,10.72,7.92,,,,,,
Blue 09/01/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,09/01/2017 00:00:00,31.61,10,9.43,,48.73,30.39,30.84,2.84,10.68,6.94,,,,,,
Green 16/01/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,16/01/2017 00:00:00,35.59,15.47,4.92,,42.19,25.51,26.47,2.43,11.29,8.55,,,,,,
Red 16/01/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,16/01/2017 00:00:00,23.28,13,1.89,,51.55,32.71,33.92,3.31,10.25,9.09,,,,,,
Blue 16/01/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,16/01/2017 00:00:00,30.83,10.36,8.75,,46.87,28.17,28.75,2.69,10.98,6.93,,,,,,
Green 23/01/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,23/01/2017 00:00:00,35,15.73,4.84,,43.79,25.52,26.75,3.19,11.25,8.46,,,,,,
Red 23/01/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,23/01/2017 00:00:00,22.98,13.17,2.03,,50.08,31.47,32.46,3.25,10.46,10.33,,,,,,
Blue 23/01/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,23/01/2017 00:00:00,30.18,11.05,8.18,,47.91,28.21,29.49,2.94,10.87,7.11,,,,,,
Green 30/01/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,30/01/2017 00:00:00,34.61,16.06,4.29,,44.23,26.37,27.82,4.34,11.11,8.7,,,,,,
Red 30/01/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,30/01/2017 00:00:00,22.5,13.81,1.82,,51.13,31.85,33.66,2.57,10.29,8.03,,,,,,
Blue 30/01/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,30/01/2017 00:00:00,29.95,10.07,8.45,,50.54,30.69,31.38,2.66,10.61,6.24,,,,,,
Green 06/02/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,06/02/2017 00:00:00,34.53,15.51,4.33,,44.52,25.75,27.57,2.5,11.14,8.28,,,,,,
Red 06/02/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,06/02/2017 00:00:00,22.84,13,2.29,,51.1,25.85,33.43,3.34,10.32,7.22,,,,,,
Blue 06/02/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,06/02/2017 00:00:00,29.63,10.28,7.47,,48.53,29.62,30.37,2.95,10.75,6.59,,,,,,
Green 13/02/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,13/02/2017 00:00:00,36.95,14.99,2.13,,55.06,31.45,32.72,6.74,10.42,11.29,,,,,,
Red 13/02/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,13/02/2017 00:00:00,25.1,12.08,1.68,,50.62,31.42,32.98,5.61,10.38,8.83,,,,,,
Blue 13/02/2017 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,13/02/2017 00:00:00,31.53,20.8,2.08,,34.03,25.62,26.79,4.43,11.25,10.11,,,,,,
Green 20/02/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,20/02/2017 00:00:00,36.76,16.16,2.01,,54.49,31.86,33.22,7.55,10.35,11.07,,,,,,
Red 20/02/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,20/02/2017 00:00:00,23.83,11.78,1.82,,50.59,30.88,32.02,3.82,10.52,8.37,,,,,,
Blue 20/02/2017 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,20/02/2017 00:00:00,32.4,21.36,2,,32.59,24.95,27.26,4.37,11.18,10.39,,,,,,
Green 27/02/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,27/02/2017 00:00:00,37.11,16.15,2.05,,55.27,32.37,33.89,12.71,10.26,11.63,,,,,,
Red 27/02/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,27/02/2017 00:00:00,24.04,12.6,1.53,,52.06,30.89,31.93,3.39,10.53,8.26,,,,,,
Blue 27/02/2017 Bale Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Bale,Silage,27/02/2017 00:00:00,32.11,20.94,2.36,,33.14,24.49,26.76,4.25,11.25,10.12,,,,,,
Green 06/03/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,06/03/2017 00:00:00,38.86,16.33,3.18,,53.06,29.26,30.53,4.9,10.73,8.69,,,,,,
Red 06/03/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,06/03/2017 00:00:00,24.43,12.45,2.72,,50.82,29.63,31.1,2.5,10.65,8.1,,,,,,
Blue 06/03/2017 NW Farm clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,06/03/2017 00:00:00,34.03,11.8,3.7,,50.54,30.15,31.59,3.91,10.58,8.63,,,,,,
Green 13/03/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,13/03/2017 00:00:00,38.93,16,3.25,,52.77,28.83,29.87,4.02,10.82,9.12,,,,,,
Red 13/03/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,13/03/2017 00:00:00,23.41,12.53,2.08,,50.76,31.2,32.28,2.66,10.48,8.08,,,,,,
Blue 13/03/2017 NW Farm clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,13/03/2017 00:00:00,32.62,14.37,1.25,,48.08,28.2,29.01,3.16,10.94,7.27,,,,,,
Green 20/03/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,20/03/2017 00:00:00,37.81,16.46,3.55,,50.25,26.49,27.17,3.52,11.2,7.81,,,,,,
Red 20/03/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,20/03/2017 00:00:00,24.24,13.1,2.17,,51.34,29.89,30.93,2.9,10.67,7.34,,,,,,
Blue 20/03/2017 NW Farm clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,20/03/2017 00:00:00,40.97,12.24,5.57,,51.57,30.73,32.03,3.9,10.52,7.43,,,,,,
Green 27/03/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,27/03/2017 00:00:00,42.4,13.05,6.18,,54.71,29.14,30.3,4.05,10.76,6.99,,,,,,
Red 27/03/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,27/03/2017 00:00:00,23.67,12.5,2.38,,50.29,30.82,31.89,2.76,10.53,7.65,,,,,,
Blue 27/03/2017 NW Farm clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,27/03/2017 00:00:00,51.75,11.37,8.71,,55.06,30.74,31.94,5.73,10.53,7.81,,,,,,
Green 03/04/2017 Bale Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Bale,Silage,03/04/2017 00:00:00,47.94,14.66,9.5,,51.34,25.47,26.38,3.46,11.31,6.67,,,,,,
Red 03/04/2017 Bale Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Bale,Silage,03/04/2017 00:00:00,43.59,13.65,7.16,,52.61,28.48,29.26,3.65,10.9,7.77,,,,,,
Blue 03/04/2017 NW Farm clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,03/04/2017 00:00:00,36.45,12.34,3.93,,51.96,15.5,31.65,4.18,10.57,7.94,,,,,,
Blue 24/04/2017 Higher Wyke Moor Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,24/04/2017 00:00:00,21.92,21.7,17.44,,29.83,14.74,17.2,1.72,13.02,8.33,,,,,,
Green 24/04/2017 Orchard Dean North Pasture,NW045,Orchard Dean North,Green,Grazing,Pasture,24/04/2017 00:00:00,21.57,23.09,13.1,,34.26,16.78,19.38,3.13,12.61,8.31,,,,,,
Red 24/04/2017 Ware Park Pasture,NW004,Ware Park,Red,Grazing,Pasture,24/04/2017 00:00:00,19.22,21.89,18.42,,32,15.66,18.62,2.21,12.76,8.18,,,,,,
Blue 08/05/2017 Higher Wyke Moor Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,08/05/2017 00:00:00,19.94,19.25,16.48,,37.54,17.92,20.92,2.72,12.33,8.33,,,,,,
Green 08/05/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,08/05/2017 00:00:00,22.23,26.37,14.52,,32.79,17.35,19.58,2.09,12.58,7.97,,,,,,
Red 08/05/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,08/05/2017 00:00:00,22.17,17.2,18.1,,38.1,16.93,19.63,1.6,12.57,7.97,,,,,,
Blue 24/05/2017 Higher Wyke Moor Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,24/05/2017 00:00:00,18.85,18.83,15.04,,39.28,18.41,22.65,2.55,12.01,9.87,,,,,,
Blue 24/05/2017 Middle Wyke Moor Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,24/05/2017 00:00:00,21.09,15.96,17.1,,40.33,19.07,22.87,3.02,11.97,8.65,,,,,,
Green 24/05/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,24/05/2017 00:00:00,19.7,23.62,12.81,,37.3,19.93,21.93,2.53,12.14,8.79,,,,,,
Red 24/05/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,24/05/2017 00:00:00,19.84,18.56,15.49,,43.53,21.8,23.88,5.01,11.78,10.01,,,,,,
Blue 06/06/2017 Higher Wyke Moor Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,06/06/2017 00:00:00,19.12,19.84,14.53,,36.66,18.8,21.4,3.5,12.24,9.23,,,,,,
Blue 06/06/2017 Middle Wyke Moor Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,06/06/2017 00:00:00,20.71,15.01,16.29,,40.88,19.54,22.53,4.01,12.03,8.83,,,,,,
Green 06/06/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,06/06/2017 00:00:00,18.72,24.28,11.65,,37.95,18.81,22.29,2.35,12.08,9.3,,,,,,
Red 06/06/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,06/06/2017 00:00:00,20.15,21.89,14.41,,39.41,20.47,23.35,3.82,11.88,10,,,,,,
Blue 22/06/2017 Middle Wyke Moor Pasture,NW011,Middle Wyke Moor,Blue,Grazing,Pasture,22/06/2017 00:00:00,24.71,14.48,17.12,,43.18,22.71,25.78,4.44,11.43,9.28,,,,,,
Green 22/06/2017 Golden Rove Pasture,NW009,Golden Rove,Green,Grazing,Pasture,22/06/2017 00:00:00,24.29,21.2,11.84,,40.95,19.68,23.7,4.34,11.82,7.44,,,,,,
Red 22/06/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,22/06/2017 00:00:00,25.61,22.31,14.26,,42.14,19.61,21.49,3.77,12.22,8.72,,,,,,
Blue 10/07/2017 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,10/07/2017 00:00:00,19.19,19.38,13.16,,29.35,17.5,21.08,4.08,12.3,9.19,,,,,,
Green 10/07/2017 Golden Rove Pasture,NW009,Golden Rove,Green,Grazing,Pasture,10/07/2017 00:00:00,22.77,25.08,14.12,,33.75,17.07,19.28,4.63,12.63,7.22,,,,,,
Green 10/07/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,10/07/2017 00:00:00,25.14,17.08,16.12,,42.36,21.72,23.92,3.57,11.78,7.85,,,,,,
Red 10/07/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,10/07/2017 00:00:00,22.82,17.58,21.7,,35.43,19.35,20.88,3.5,12.34,8.45,,,,,,
Red 10/07/2017 Pecketsford Pasture,NW001,Pecketsford,Red,Grazing,Pasture,10/07/2017 00:00:00,22.82,19.47,17.26,,38.02,21.53,23.49,3.22,11.85,7.98,,,,,,
Blue 25/07/2017 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,25/07/2017 00:00:00,21.44,18.78,12.26,,36.34,21.29,23.81,4.22,11.8,9.05,,,,,,
Red 25/07/2017 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,25/07/2017 00:00:00,22.58,11.46,21.6,,43.87,24.06,26.71,3.14,11.26,7.74,,,,,,
Green 25/07/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,25/07/2017 00:00:00,18.87,14.34,11.41,,48.58,24.82,28.76,3.33,10.88,9.34,,,,,,
Blue 07/08/2017 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,07/08/2017 00:00:00,15.77,28.43,9.43,,37.3,17.65,20.81,3.81,12.35,9.83,,,,,,
Red 07/08/2017 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,07/08/2017 00:00:00,19.38,15.01,16.74,,44.02,25.22,27.45,5.04,11.12,9.94,,,,,,
Green 07/08/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,07/08/2017 00:00:00,19.97,14.48,12.98,,46.6,25.07,28.65,3.74,10.9,9.13,,,,,,
Blue 21/08/2017 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,21/08/2017 00:00:00,11.46,28.89,6.43,,36.82,19.17,21.32,3.39,12.26,10.62,,,,,,
Red 21/08/2017 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,21/08/2017 00:00:00,13.11,26.65,7.25,,38.77,22.44,25.35,4.78,11.51,9.95,,,,,,
Green 21/08/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,21/08/2017 00:00:00,15.6,17.65,11,,46.2,25.99,29.3,5.37,10.78,11,,,,,,
Blue 04/09/2017 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,04/09/2017 00:00:00,9.81,25.76,9.25,,34.68,21.89,25.08,3.87,11.56,9.44,,,,,,
Green 04/09/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,04/09/2017 00:00:00,13.6,19.39,10.61,,43.82,22.26,26.8,3.26,11.24,7.91,,,,,,
Red 04/09/2017 Poor Field Pasture,NW003,Poor Field,Red,Grazing,Pasture,04/09/2017 00:00:00,15.4,15.51,15.49,,45.04,22.34,25.5,4.09,11.48,8.47,,,,,,
Blue 22/09/2017 Higher Wyke Moor Pasture,NW010,Higher Wyke Moor,Blue,Grazing,Pasture,22/09/2017 00:00:00,18.7,15.58,16.29,,40.76,23.16,26.03,5.62,11.38,15.08,,,,,,
Green 22/09/2017 Orchard Dean North Pasture,NW045,Orchard Dean North,Green,Grazing,Pasture,22/09/2017 00:00:00,13.34,23.44,12.64,,30.77,17.83,20.37,1.15,12.43,8.3,,,,,,
Red 22/09/2017 Ware Park Pasture,NW004,Ware Park,Red,Grazing,Pasture,22/09/2017 00:00:00,18.48,16.35,22.93,,31.18,18.39,20.84,3.47,12.34,9.67,,,,,,
Green 06/10/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,06/10/2017 00:00:00,28.58,26.85,12.4,,29.2,16.63,20.3,2.85,12.44,9.13,,,,,,
Green 20/10/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,20/10/2017 00:00:00,26.16,24.76,14.57,,30.97,16.37,20.36,1.76,12.43,6.79,,,,,,
Green 02/11/2017 Orchard Dean South Pasture,NW046,Orchard Dean South,Green,Grazing,Pasture,02/11/2017 00:00:00,27.96,25.07,13.99,,31.82,16.34,20.27,1.31,12.45,7.61,,,,,,
Green 02/11/2017 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,02/11/2017 00:00:00,27.08,24.41,14.5,,29.45,16.97,19.78,1.63,12.54,8.51,,,,,,
Green 13/11/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,13/11/2017 00:00:00,25.03,14.35,2.91,,45.01,26.62,29.69,3.28,10.84,9,,,,,,
Red 13/11/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,13/11/2017 00:00:00,28.65,14.22,1.83,,41.71,25.93,28.56,3.43,11,9.92,,,,,,
Blue 13/11/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,13/11/2017 00:00:00,,11.23,6.86,,38.83,25.89,27.98,4.35,11.08,9.22,,,,,,
Green 20/11/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,20/11/2017 00:00:00,,14.89,2.24,,46.05,28.42,30.84,3.43,10.68,9.07,,,,,,
Red 20/11/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,20/11/2017 00:00:00,,13.74,1.94,,42.73,26.23,28.73,4.22,10.98,10.62,,,,,,
Blue 20/11/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,20/11/2017 00:00:00,,11.15,7.66,,38.78,23.88,27.58,2.74,11.14,8.99,,,,,,
Green 27/11/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,27/11/2017 00:00:00,30.92,15.38,1.95,,46.4,26.5,30.59,4.18,10.72,10.59,,,,,,
Red 27/11/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,27/11/2017 00:00:00,27.18,13.82,1.84,,41.74,24.71,28.75,3.36,10.98,9.52,,,,,,
Blue 27/11/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,27/11/2017 00:00:00,27.75,10.89,7,,40.06,24.79,27.96,2.67,11.09,9.85,,,,,,
Green 04/12/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,04/12/2017 00:00:00,28.32,14.66,2.52,,47.4,28.61,31.67,3.96,10.57,9.62,,,,,,
Red 04/12/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,04/12/2017 00:00:00,27.39,14.3,1.84,,42.11,27.32,29.93,3.56,10.81,10.05,,,,,,
Blue 04/12/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,04/12/2017 00:00:00,28.07,11.08,7.07,,39.3,25.33,28.56,3.19,11,9.44,,,,,,
Green 11/12/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,11/12/2017 00:00:00,27.95,14.65,1.93,,44.09,26.2,29.72,3.45,10.84,8.61,,,,,,
Red 11/12/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,11/12/2017 00:00:00,26.64,14.7,1.78,,42.71,25.79,29.21,4.09,10.91,10.99,,,,,,
Blue 11/12/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,11/12/2017 00:00:00,27.86,10.99,7.02,,38.9,24.82,28.08,3.34,11.07,9.86,,,,,,
Green 18/12/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,18/12/2017 00:00:00,29.01,14.71,1.94,,46.34,27.95,30.69,5.07,10.7,9.86,,,,,,
Red 18/12/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,18/12/2017 00:00:00,26.79,14.55,1.95,,41.76,26.1,29.03,4.4,10.94,10.25,,,,,,
Blue 18/12/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,18/12/2017 00:00:00,27.81,10.81,5.71,,41.06,24.14,27.96,2.87,11.09,8.15,,,,,,
Green 25/12/2017 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,25/12/2017 00:00:00,27.01,14.76,2.96,,45.02,27.32,30.34,4.56,10.75,8.97,,,,,,
Red 25/12/2017 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,25/12/2017 00:00:00,26.63,14.04,1.8,,41.49,24.91,28.21,3.12,11.05,9.53,,,,,,
Blue 25/12/2017 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,25/12/2017 00:00:00,28.38,11.17,8.09,,38.06,25.4,27.98,3.74,11.08,9.13,,,,,,
Green 01/01/2018 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,01/01/2018 00:00:00,29.63,14.89,3.2,,46.44,27.11,29.48,2,10.87,8.41,,,,,,
Red 01/01/2018 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,01/01/2018 00:00:00,27.07,14.66,1.76,,45.39,26.58,29.67,2.56,10.85,8.74,,,,,,
Blue 01/01/2018 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,01/01/2018 00:00:00,28.83,11.83,7.78,,41.7,24.23,27.63,2.64,11.13,7.93,,,,,,
Green 08/01/2018 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,08/01/2018 00:00:00,32.12,14.64,3.17,,46.73,24.92,29.04,2.1,10.93,8.76,,,,,,
