Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 302064,2064,Cattle,ST,F,26/01/2020,UK 220207 601568,UK 362735 501765,NA,Green,2021,NA
UK 362735 602060,2060,Cattle,ST,M,09/01/2020,UK 220207 601568,UK 362735 701844,NA,Blue,2021,NA
UK 362735 302050,2050,Cattle,STX,F,14/05/2019,UK 380678 601707,UK 363394 600788,NA,Blue,2020,2020
UK 362735 302043,2043,Cattle,STX,F,25/04/2019,UK 380678 601707,UK 340762 401876,NA,Green,2020,2020
UK 362735 202042,2042,Cattle,STX,M,23/04/2019,UK 380678 601707,UK 340493 301589,NA,Blue,2020,2020
UK 362735 102041,2041,Cattle,ST,M,18/04/2019,UK 380678 601707,UK 280211 100471,NA,Green,2020,2020
UK 362735 302036,2036,Cattle,ST,M,10/04/2019,UK 142911 303178,UK 221217 201162,NA,Green,2020,2020
UK 362735 202035,2035,Cattle,ST,M,05/04/2019,UK 142911 303178,UK 221217 101245,NA,Blue,2020,2020
UK 362735 702033,2033,Cattle,ST,M,03/04/2019,UK 380678 601707,UK 706021 303007,NA,Green,2020,2020
UK 362735 302022,2022,Cattle,STX,M,31/03/2019,UK 380678 601707,UK 740431 100971,NA,Green,2020,2020
UK 362735 402023,2023,Cattle,ST,M,31/03/2019,UK 142911 303178,UK 706021 103075,NA,Green,2020,2020
UK 362735 102020,2020,Cattle,ST,F,28/03/2019,UK 380678 601707,UK 706021 302937,NA,Blue,2020,2020
UK 362735 602018,2018,Cattle,ST,M,26/03/2019,UK 142911 303178,UK 706021 603059,NA,Blue,2020,2020
UK 362735 202014,2014,Cattle,ST,M,23/03/2019,UK 142911 303178,UK 706021 202964,NA,Blue,2020,2020
UK 362735 302008,2008,Cattle,STX,M,19/03/2019,UK 303596 501955,UK 362594 300081,NA,Blue,2020,2020
UK 362735 202007,2007,Cattle,STX,M,18/03/2019,UK 303596 501955,UK 366189 702074,NA,Blue,2020,2020
UK 362735 602004,2004,Cattle,ST,M,17/03/2019,UK 380678 601707,UK 280211 300494,NA,Blue,2020,2020
UK 362735 202000,2000,Cattle,STX,F,15/03/2019,UK 303596 501955,UK 344428 602231,NA,Green,2020,2020
UK 362735 401995,1995,Cattle,ST,M,12/03/2019,UK 380678 601707,UK 280211 700477,NA,Blue,2020,2020
UK 362735 501996,1996,Cattle,STX,M,12/03/2019,UK 303596 501955,UK 345188 401397,NA,Blue,2020,2020
UK 362735 601997,1997,Cattle,ST,M,12/03/2019,UK 380678 601707,UK 221217 501172,NA,Blue,2020,2020
UK 362735 301994,1994,Cattle,STX,F,11/03/2019,UK 303596 501955,UK 366189 601716,NA,Green,2020,2020
UK 362735 101992,1992,Cattle,STX,F,10/03/2019,UK 303596 501955,UK 362215 401228,NA,Green,2020,2020
UK 362735 501989,1989,Cattle,STX,M,09/03/2019,UK 303596 501955,UK 344853 101116,NA,Green,2020,2020
UK 362735 301987,1987,Cattle,ST,M,07/03/2019,UK 142911 303178,UK 362735 701606,NA,Blue,2020,2020
UK 362735 101985,1985,Cattle,ST,M,06/03/2019,UK 380678 601707,UK 221217 501179,NA,Green,2020,2020
UK 362735 201986,1986,Cattle,STX,M,06/03/2019,UK 303596 501955,UK 341623 501576,NA,Green,2020,2020
UK 362735 201979,1979,Cattle,STX,F,03/03/2019,UK 303596 501955,UK 345188 201395,NA,Blue,2020,2020
UK 362735 501975,1975,Cattle,ST,M,02/03/2019,UK 380678 601707,UK 221217 501256,NA,Green,2020,2020
UK 362735 601976,1976,Cattle,STX,M,02/03/2019,UK 303596 501955,UK 361993 201363,NA,Green,2020,2020
UK 362735 301973,1973,Cattle,ST,F,01/03/2019,UK 380678 601707,UK 706021 402938,NA,Green,2020,2020
UK 362735 401974,1974,Cattle,STX,F,01/03/2019,UK 303596 501955,UK 740431 201014,NA,Blue,2020,2020
UK 362735 601969,1969,Cattle,STX,M,28/02/2019,UK 303596 501955,UK 340721 601194,NA,Blue,2020,2020
UK 362735 101964,1964,Cattle,ST,F,27/02/2019,UK 706021 102928,UK 221185 101930,NA,Blue,2020,2020
UK 362735 201958,1958,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 341954 100946,NA,Blue,2020,2020
UK 362735 201965,1965,Cattle,ST,M,27/02/2019,UK 142911 303178,UK 283928 701142,NA,Green,2020,2020
UK 362735 401967,1967,Cattle,ST,M,27/02/2019,UK 706021 102928,UK 221185 302002,NA,Blue,2020,2020
UK 362735 501961,1961,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 366189 201726,NA,Green,2020,2020
UK 362735 701956,1956,Cattle,ST,F,25/02/2019,UK 706021 102928,UK 221185 601956,NA,Green,2020,2020
UK 362735 401953,1953,Cattle,ST,M,24/02/2019,UK 142911 303178,UK 280211 500496,NA,Green,2020,2020
UK 362735 501954,1954,Cattle,STX,F,24/02/2019,UK 303596 501955,UK 341095 501059,NA,Green,2020,2020
UK 362735 601955,1955,Cattle,ST,M,24/02/2019,UK 706021 102928,UK 283928 401188,UK 341095 501059,Green,2020,2020
UK 362735 101950,1950,Cattle,STX,F,23/02/2019,UK 303596 501955,UK 362735 301126,NA,Blue,2020,2020
UK 362735 201951,1951,Cattle,ST,M,23/02/2019,UK 706021 102928,UK 221185 301967,NA,Blue,2020,2020
UK 362735 301952,1952,Cattle,ST,M,23/02/2019,UK 142911 303178,UK 280211 700491,NA,Blue,2020,2020
UK 362735 201944,1944,Cattle,ST,M,21/02/2019,UK 142911 303178,UK 283928 101080,NA,Blue,2020,2020
UK 362735 301945,1945,Cattle,STX,M,21/02/2019,UK 303596 501955,UK 385983 501291,NA,Green,2020,2020
UK 362735 401939,1939,Cattle,STX,F,21/02/2019,UK 303596 501955,UK 342625 101994,NA,Green,2020,2020
UK 362735 701942,1942,Cattle,STX,F,20/02/2019,UK 303596 501955,UK 344903 101937,NA,Blue,2020,2020
UK 362735 601934,1934,Cattle,ST,M,17/02/2019,UK 142911 303178,UK 280211 500461,NA,Green,2020,2020
UK 362735 301931,1931,Cattle,STX,F,16/02/2019,UK 303596 501955,UK 740732 201721,NA,Blue,2020,2020
UK 362735 501933,1933,Cattle,STX,M,16/02/2019,UK 303596 501955,UK 282700 503577,NA,Green,2020,2020
UK 362735 401925,1925,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 340721 201190,NA,Green,2020,2020
UK 362735 701928,1928,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 323621 201773,NA,Blue,2020,2020
UK 362735 301924,1924,Cattle,ST,M,14/02/2019,UK 142911 303178,UK 221217 101196,NA,Green,2020,2020
UK 362735 101922,1922,Cattle,ST,M,11/02/2019,UK 706021 102928,UK 221185 102063,NA,Blue,2020,2020
UK 362735 401918,1918,Cattle,ST,F,09/02/2019,UK 706021 102928,UK 221185 602033,NA,Blue,2020,2020
UK 362735 501919,1919,Cattle,ST,M,09/02/2019,UK 142911 303178,UK 280211 100478,NA,Green,2020,2020
UK 362735 201916,1916,Cattle,ST,F,07/02/2019,UK 706021 102928,UK 221185 601977,NA,Green,2020,2020
UK 362735 201909,1909,Cattle,ST,M,30/01/2019,UK 706021 102928,UK 280211 600504,NA,Green,2020,2020
UK 362735 501905,1905,Cattle,STX,M,20/01/2019,UK 303596 501955,UK 344680 103353,NA,Blue,2020,2020
UK 362735 401904,1904,Cattle,ST,M,13/01/2019,UK 142911 303178,UK 280211 500468,NA,Blue,2020,2020
UK 362735 601892,601892,Cattle,ST,M,01/05/2018,UK 706021 102928,UK 706021 402994,UK 706021 402994,Blue,2019,2019
UK 362735 401890,401890,Cattle,STX,M,30/04/2018,UK 380678 601707,UK 345188 301543,UK 345188 301543,Green,2019,2019
UK 362735 601878,601878,Cattle,STX,F,17/04/2018,UK 380678 601707,UK 362735 101173,UK 362735 101173,Blue,2019,2019
UK 362735 201874,201874,Cattle,STX,F,11/04/2018,UK 303596 501955,UK 322301 100917,UK 322301 100917,Green,2019,2019
UK 362735 701858,701858,Cattle,STX,M,24/03/2018,UK 142911 303178,UK 283104 705927,UK 283104 705927,Green,2019,2019
UK 362735 401827,401827,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 345145 501060,UK 345145 501060,Green,2019,2019
UK 362735 601801,601801,Cattle,ST,M,08/03/2018,UK 706021 102928,UK 706021 603073,UK 706021 603073,Blue,2019,2019
UK 362735 601773,601773,Cattle,ST,M,20/02/2018,UK 380678 601707,UK 280211 100478,UK 280211 100478,Blue,2019,2019
UK 362735 701760,701760,Cattle,ST,M,14/02/2018,UK 142911 303178,UK 283928 701198,UK 283928 701198,Blue,2019,2019
